# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7ffb1f743208> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
21790,0.553796,0.760000,0.504583,0.555000,0.559537,0.890000,0.854259,0.900000,0.594583,0.850000,42.405273,3.756836,58.376953,1839.595703,2641.590820
21990,0.556101,0.805000,0.505459,0.600000,0.562615,0.895000,0.854817,0.915000,0.597156,0.875000,42.350586,3.756836,58.376953,1720.279297,2311.133789
22190,0.554364,0.365000,0.505000,0.455000,0.559818,0.255000,0.852818,0.635000,0.593091,0.150000,42.405273,3.756836,58.376953,1249.955078,2389.278320
22390,0.551712,0.260000,0.504324,0.430000,0.556171,0.155000,0.852568,0.825000,0.590270,0.280000,42.350586,3.756836,58.376953,1412.978516,2479.383789
22590,0.549107,0.260000,0.503571,0.420000,0.555804,0.515000,0.853125,0.915000,0.590714,0.640000,42.405273,3.756836,52.373047,1517.091797,2446.954102
22790,0.547965,0.420000,0.503496,0.495000,0.558761,0.890000,0.853761,0.925000,0.592655,0.810000,42.350586,3.756836,58.404297,1705.076172,2574.368164
22990,0.549079,0.675000,0.502895,0.435000,0.561535,0.875000,0.854123,0.895000,0.595088,0.870000,42.350586,3.756836,58.404297,1721.033203,2329.415039
23190,0.547696,0.390000,0.503478,0.570000,0.559304,0.305000,0.852391,0.655000,0.591913,0.230000,42.350586,3.756836,58.404297,1789.720703,2439.633789
23390,0.546724,0.435000,0.503707,0.530000,0.556336,0.215000,0.852241,0.835000,0.589009,0.255000,42.350586,3.756836,58.404297,1645.544922,2553.766602
23590,0.547692,0.660000,0.504359,0.580000,0.557137,0.650000,0.852479,0.880000,0.588504,0.530000,42.350586,3.756836,58.404297,1825.974609,2305.942383
23790,0.549492,0.760000,0.504915,0.570000,0.558729,0.745000,0.853051,0.920000,0.590381,0.810000,42.350586,3.756836,58.404297,1833.044922,2423.352539
23990,0.551387,0.775000,0.505168,0.535000,0.560462,0.765000,0.853824,0.945000,0.593361,0.945000,43.885742,3.756836,58.404297,1743.126953,2443.680664
24190,0.550000,0.385000,0.504917,0.475000,0.558500,0.325000,0.851750,0.605000,0.590333,0.230000,43.885742,3.756836,58.404297,1506.908203,2399.282227
