# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 - 
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7f1e65649710> - n_estimators: 10
# [samknn] avg. STMSize nan LTMSize nan; num correct STM 0 LTM 0 CM 0 ; num correct 0/0

# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'running_time']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[arslvq],testing_time_[arslvq],total_running_time_[arslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
9990,0.581837,0.735000,0.522347,0.610000,0.575408,0.520000,0.864184,0.925000,0.642449,0.895000,0.861020,0.965000,1.288074,0.299781,1.587855,5.854851,1.155120,7.009971,9.689438,0.291968,9.981406,27.721021,2.392188,30.113209,8.507429,5.079041,13.586470,4.512015,1.479861,5.991876
10190,0.575900,0.285000,0.519700,0.390000,0.570900,0.350000,0.859200,0.615000,0.634500,0.245000,0.850400,0.330000,1.318455,0.305949,1.624404,5.972257,1.178497,7.150754,9.885012,0.297950,10.182961,28.399183,2.443342,30.842526,8.691886,5.186928,13.878814,4.608974,1.515934,6.124908
10390,0.568824,0.215000,0.517255,0.395000,0.574706,0.765000,0.858431,0.820000,0.625490,0.175000,0.852353,0.950000,1.348282,0.311647,1.659929,6.089173,1.201497,7.290670,10.063321,0.303849,10.367170,29.026049,2.490725,31.516774,8.861082,5.290695,14.151776,4.675997,1.536153,6.212149
10590,0.568846,0.570000,0.514327,0.365000,0.578654,0.780000,0.859135,0.895000,0.623846,0.540000,0.854808,0.980000,1.374364,0.315157,1.689521,6.206027,1.224252,7.430279,10.257351,0.309844,10.567196,29.644994,2.536346,32.181339,9.043801,5.399751,14.443552,4.758168,1.562359,6.320527
10790,0.571509,0.710000,0.512264,0.405000,0.584057,0.865000,0.859906,0.900000,0.627075,0.795000,0.857170,0.980000,1.401448,0.320094,1.721542,6.322597,1.247168,7.569765,10.455313,0.315779,10.771092,30.247557,2.585357,32.832915,9.231964,5.513948,14.745913,4.855475,1.594696,6.450170
10990,0.573981,0.705000,0.509722,0.375000,0.588426,0.820000,0.861389,0.940000,0.633333,0.965000,0.859352,0.975000,1.429682,0.324809,1.754491,6.440073,1.270265,7.710338,10.653685,0.321709,10.975393,30.806983,2.633113,33.440097,9.407485,5.624513,15.031998,4.966599,1.633615,6.600214
11190,0.573000,0.520000,0.510727,0.565000,0.581636,0.215000,0.857636,0.655000,0.626909,0.280000,0.851000,0.400000,1.458153,0.329547,1.787700,6.557556,1.293539,7.851095,10.851436,0.327576,11.179011,31.353844,2.679442,34.033286,9.586096,5.728145,15.314241,5.061240,1.667832,6.729072
11390,0.569732,0.390000,0.512946,0.635000,0.574196,0.165000,0.858929,0.930000,0.621429,0.320000,0.853036,0.965000,1.486523,0.334432,1.820955,6.676574,1.316366,7.992940,11.049004,0.333489,11.382492,31.895961,2.727890,34.623851,9.757993,5.834526,15.592519,5.140532,1.688025,6.828556
11590,0.569649,0.565000,0.514298,0.590000,0.568860,0.270000,0.859912,0.915000,0.620877,0.590000,0.854737,0.950000,1.514223,0.338978,1.853201,6.793428,1.339201,8.132629,11.247804,0.339425,11.587229,32.420192,2.777105,35.197296,9.929200,5.939459,15.868658,5.211398,1.709906,6.921304
11790,0.571810,0.695000,0.515690,0.595000,0.564310,0.305000,0.861207,0.935000,0.624828,0.850000,0.856466,0.955000,1.542882,0.344128,1.887010,6.911381,1.361953,8.273334,11.447427,0.345348,11.792776,32.955863,2.828511,35.784374,10.108452,6.048869,16.157321,5.278489,1.729470,7.007959
11990,0.574915,0.755000,0.517881,0.645000,0.562119,0.435000,0.862458,0.935000,0.630508,0.960000,0.858390,0.970000,1.574698,0.350489,1.925187,7.028535,1.384944,8.413479,11.646149,0.351393,11.997542,33.531542,2.881396,36.412938,10.292858,6.165754,16.458612,5.354215,1.752782,7.106997
12190,0.570417,0.305000,0.515083,0.350000,0.560500,0.465000,0.858750,0.640000,0.624083,0.245000,0.853250,0.550000,1.605666,0.356749,1.962415,7.145636,1.409141,8.554777,11.845982,0.357342,12.203324,34.206306,2.935251,37.141558,10.476791,6.275443,16.752234,5.427217,1.775440,7.202657
12390,0.567787,0.410000,0.513361,0.410000,0.563689,0.755000,0.859590,0.910000,0.617869,0.245000,0.854918,0.955000,1.636307,0.362796,1.999103,7.263575,1.432323,8.695899,12.045359,0.363357,12.408716,34.840070,2.983146,37.823216,10.652539,6.382444,17.034983,5.492248,1.794583,7.286831
